"SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"ACADM","34","ENSG00000117054","acyl-CoA dehydrogenase medium chain"
"ACADS","35","ENSG00000122971","acyl-CoA dehydrogenase short chain"
"ACADVL","37","ENSG00000072778","acyl-CoA dehydrogenase very long chain"
"ACAT1","38","ENSG00000075239","acetyl-CoA acetyltransferase 1"
"PSEN1","5663","ENSG00000080815","presenilin 1"
"ADA","100","ENSG00000196839","adenosine deaminase"
"ADRB2","154","ENSG00000169252","adrenoceptor beta 2"
"ADSL","158","ENSG00000239900","adenylosuccinate lyase"
"AGA","175","ENSG00000038002","aspartylglucosaminidase"
"ALAD","210","ENSG00000148218","aminolevulinate dehydratase"
"ALAS2","212","ENSG00000158578","5'-aminolevulinate synthase 2"
"ABCD1","215","ENSG00000101986","ATP binding cassette subfamily D member 1"
"ANK1","286","ENSG00000029534","ankyrin 1"
"APC","324","ENSG00000134982","APC regulator of WNT signaling pathway"
"FAS","355","ENSG00000026103","Fas cell surface death receptor"
"ARG1","383","ENSG00000118520","arginase 1"
"ARSB","411","ENSG00000113273","arylsulfatase B"
"ASL","435","ENSG00000126522","argininosuccinate lyase"
"ATM","472","ENSG00000149311","ATM serine/threonine kinase"
"ATP7A","538","ENSG00000165240","ATPase copper transporting alpha"
"BCKDHB","594","ENSG00000083123","branched chain keto acid dehydrogenase E1 subunit beta"
"BLM","641","ENSG00000197299","BLM RecQ like helicase"
"BRCA2","675","ENSG00000139618","BRCA2 DNA repair associated"
"BTK","695","ENSG00000010671","Bruton tyrosine kinase"
"SERPING1","710","ENSG00000149131","serpin family G member 1"
"C2","717","ENSG00000166278","complement C2"
"C3","718","ENSG00000125730","complement C3"
"CA2","760","ENSG00000104267","carbonic anhydrase 2"
"CAPN3","825","ENSG00000092529","calpain 3"
"CBS","875","ENSG00000160200","cystathionine beta-synthase"
"CD36","948","ENSG00000135218","CD36 molecule (CD36 blood group)"
"CD3G","917","ENSG00000160654","CD3 gamma subunit of T-cell receptor complex"
"CD40LG","959","ENSG00000102245","CD40 ligand"
"CDK4","1019","ENSG00000135446","cyclin dependent kinase 4"
"CDKN1C","1028","ENSG00000129757","cyclin dependent kinase inhibitor 1C"
"CHRNE","1145","ENSG00000108556","cholinergic receptor nicotinic epsilon subunit"
"LYST","1130","ENSG00000143669","lysosomal trafficking regulator"
"ERCC8","1161","ENSG00000049167","ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
"CLCN5","1184","ENSG00000171365","chloride voltage-gated channel 5"
"CLN3","1201","ENSG00000188603","CLN3 lysosomal/endosomal transmembrane protein, battenin"
"COL4A3","1285","ENSG00000169031","collagen type IV alpha 3 chain"
"COL4A4","1286","ENSG00000081052","collagen type IV alpha 4 chain"
"COL7A1","1294","ENSG00000114270","collagen type VII alpha 1 chain"
"CPOX","1371","ENSG00000080819","coproporphyrinogen oxidase"
"CPT2","1376","ENSG00000157184","carnitine palmitoyltransferase 2"
"CST3","1471","ENSG00000101439","cystatin C"
"CSTB","1476","ENSG00000160213","cystatin B"
"CYBA","1535","ENSG00000051523","cytochrome b-245 alpha chain"
"CYP1B1","1545","ENSG00000138061","cytochrome P450 family 1 subfamily B member 1"
"DDB2","1643","ENSG00000134574","damage specific DNA binding protein 2"
"DLD","1738","ENSG00000091140","dihydrolipoamide dehydrogenase"
"DPYD","1806","ENSG00000188641","dihydropyrimidine dehydrogenase"
"SLC26A2","1836","ENSG00000155850","solute carrier family 26 member 2"
"TOR1A","1861","ENSG00000136827","torsin family 1 member A"
"TAZ",NA,NA,NA
"EMD","2010","ENSG00000102119","emerin"
"ENG","2022","ENSG00000106991","endoglin"
"EPB42","2038","ENSG00000166947","erythrocyte membrane protein band 4.2"
