"transcript_id","gene_symbol"
"NM_000016>ACADM","ACADM"
"NM_000017>ACADS","ACADS"
"NM_000018>ACADVL","ACADVL"
"NM_000019>ACAT1","ACAT1"
"NM_000021>PSEN1","PSEN1"
"NM_000022>ADA","ADA"
"NM_000024>ADRB2","ADRB2"
"NM_000026>ADSL","ADSL"
"NM_000027>AGA","AGA"
"NM_000031>ALAD","ALAD"
"NM_000032>ALAS2","ALAS2"
"NM_000033>ABCD1","ABCD1"
"NM_000037>ANK1","ANK1"
"NM_000038>APC","APC"
"NM_000043>FAS","FAS"
"NM_000045>ARG1","ARG1"
"NM_000046>ARSB","ARSB"
"NM_000048>ASL","ASL"
"NM_000051>ATM","ATM"
"NM_000052>ATP7A","ATP7A"
"NM_000056>BCKDHB","BCKDHB"
"NM_000057>BLM","BLM"
"NM_000059>BRCA2","BRCA2"
"NM_000061>BTK","BTK"
"NM_000062>SERPING1","SERPING1"
"NM_000063>C2","C2"
"NM_000064>C3","C3"
"NM_000067>CA2","CA2"
"NM_000070>CAPN3","CAPN3"
"NM_000071.1>CBS","CBS"
"NM_000071>CBS","CBS"
"NM_000072>CD36","CD36"
"NM_000073>CD3G","CD3G"
"NM_000074>CD40LG","CD40LG"
"NM_000075>CDK4","CDK4"
"NM_000076>CDKN1C","CDKN1C"
"NM_000080>CHRNE","CHRNE"
"NM_000081>LYST","LYST"
"NM_000082>ERCC8","ERCC8"
"NM_000084>CLCN5","CLCN5"
"NM_000086>CLN3","CLN3"
"NM_000091>COL4A3","COL4A3"
"NM_000092>COL4A4","COL4A4"
"NM_000094>COL7A1","COL7A1"
"NM_000097>CPOX","CPOX"
"NM_000098>CPT2","CPT2"
"NM_000099>CST3","CST3"
"NM_000100>CSTB","CSTB"
"NM_000101>CYBA","CYBA"
"NM_000104>CYP1B1","CYP1B1"
"NM_000107>DDB2","DDB2"
"NM_000108>DLD","DLD"
"NM_000110>DPYD","DPYD"
"NM_000112>SLC26A2","SLC26A2"
"NM_000113>TOR1A","TOR1A"
"NM_000116>TAZ","TAZ"
"NM_000117>EMD","EMD"
"NM_000118>ENG","ENG"
"NM_000119>EPB42","EPB42"
"NM_000121>EPOR","EPOR"
"NM_000122>ERCC3","ERCC3"
"NM_000123>ERCC5","ERCC5"
"NM_000124>ERCC6","ERCC6"
"NM_000126>ETFA","ETFA"
"NM_000127>EXT1","EXT1"
"NM_000129>F13A1","F13A1"
"NM_000130>F5","F5"
"NM_000135>FANCA","FANCA"
"NM_000136>FANCC","FANCC"
"NM_000137>FAH","FAH"
"NM_000138>FBN1","FBN1"
"NM_000139>MS4A2","MS4A2"
"NM_000140>FECH","FECH"
"NM_000143>FH","FH"
"NM_000144>FXN","FXN"
"NM_000146>FTL","FTL"
"NM_000147>FUCA1","FUCA1"
"NM_000152>GAA","GAA"
"NM_000153>GALC","GALC"
"NM_000154>GALK1","GALK1"
"NM_000155>GALT","GALT"
"NM_000156>GAMT","GAMT"
"NM_000157>GBA","GBA"
"NM_000158>GBE1","GBE1"
"NM_000159>GCDH","GCDH"
"NM_000161>GCH1","GCH1"
"NM_000164>GIPR","GIPR"
"NM_000167>GK","GK"
"NM_000169>GLA","GLA"
"NM_000170>GLDC","GLDC"
"NM_000173>GP1BA","GP1BA"
"NM_000174>GP9","GP9"
"NM_000175>GPI","GPI"
"NM_000176>NR3C1","NR3C1"
"NM_000178>GSS","GSS"
"NM_000179>MSH6","MSH6"
"NM_000181>GUSB","GUSB"
"NM_000182>HADHA","HADHA"
"NM_000183>HADHB","HADHB"
"NM_000184>HBG2","HBG2"
"NM_000186>CFH","CFH"
"NM_000187>HGD","HGD"
"NM_000188>HK1","HK1"
